Placa;Data Posicao;Velocidade;Ignicao;Bloqueio;Bateria;Rua;Cidade;Estado;Latitude/Longitute;Memoria;Odometro;RPM;Temperatura;Temperatura;Satelite;Alerta Interno;Sinal GPS
ITG7322;31/01/2018 23:57:53;0;Desligada;Nao;24;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 23:53:53;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 23:49:54;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 23:45:54;0;Desligada;Nao;24;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 23:41:54;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 23:37:54;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 23:33:54;0;Desligada;Nao;24;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 23:29:54;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 23:25:54;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 23:21:54;0;Desligada;Nao;24;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 23:17:54;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 23:13:54;0;Desligada;Nao;25;Av Antônio Bardella;Guarulhos;SP;-23.4787,-46.4679;Nao;0;;-125;-125;Nao;Nao;Valido
